,EMOTION-FACES-SHAPES,GAMBLING-REWARD,LANGUAGE-STORY-MATH,MOTOR-AVG,RELATIONAL-REL,SOCIAL-TOM,WM-2BK
TGC 159,0.011355341522639967,0.24374963846294706,0.00534253564306529,0.06419359635866252,0.31326828706251375,0.27043856712674635,0.17222891604295593
TGC 160,0.03854073953480221,0.028163323325961078,0.04570072265247429,-0.143721519920419,0.08813731932971204,0.01906583450752972,0.04667512851777227
TGC 161,0.06975324703025358,0.08926254917017776,0.03564158506559936,0.04618503074512281,0.11338389134809389,0.1652691735530177,0.03356991543458271
TGC 162,0.04719952178797979,0.24204277148194095,0.2317875249425619,0.16856331691000073,0.1749945332893015,0.06003236860456519,0.022563152123065325
TGC 163,-0.0444606698123692,-0.04030321650866945,0.051861496210853175,0.014216366383240331,-0.11541636093695498,-0.0016606044588734134,0.01818213713222312
TGC 164,0.04011341654910368,0.06372325113002908,-0.16938350165543384,-0.10217173991592438,0.02870288819169451,-0.0903728882565757,0.06213786258759461
TGC 165,-0.06942229106027023,-0.06957866252042108,-0.24398879054186118,-0.03349000949403297,-0.10818621427304301,-0.04427102409887487,0.0106546632398857
TGC 166,0.007738386244846467,-0.13095890970585342,-0.08788104255069301,-0.10388346029577383,-0.09245490620239029,-0.11708470005722234,-0.12290835657003103
TGC 167,-0.05740503926846222,-0.11647043676364639,-0.14886409099663828,-0.05566686417258633,-0.2846908047953295,-0.15968297369235618,-0.05529968983857795
TGC 168,0.07210492060875966,-0.005403116682244552,0.0373827474775528,-0.09273922024767361,0.185041308944425,0.03326092742391049,0.055538990104586614
TGC 169,0.0021904583134577283,-0.05401331692361724,-0.04613828945558248,0.0014302660413644972,0.17110452958690073,0.08168150502529638,-0.013480801653225656
TGC 170,0.016229939847265874,0.020949731413084982,0.04024710814449217,-0.08671662739789052,0.06461774222852026,0.042378414905746516,0.06309097754053983
TGC 171,-0.06898724840650254,-0.17057121987392082,-0.20860300833330456,-0.037893286011087414,-0.10636590453145131,-0.13504286667491658,0.004972888556764815
TGC 172,0.06750693670539079,0.26815276267376104,0.2587436178437167,0.06210495784174574,0.22008282488782768,0.1910249302417529,0.05534604257233852
TGC 173,0.08991776453407084,0.2521834106340147,0.27715217497723205,0.1283933636957337,0.20882336546150373,0.14694104104189548,0.2006914671365494
TGC 174,0.0173354181940852,0.011805564800884514,-0.09005105725276596,-0.01445509065343781,0.07482011650241818,-0.07374721912462541,-0.033303194270905445
TGC 175,0.07550485275391206,0.07715458024998391,-0.03322248200273733,0.06075643036662425,-0.016050295472221247,-0.0759712286793974,0.06153393341221592
TGC 176,-0.009829746124928748,0.07663200528606257,-0.048698710129249125,0.012414063238717379,-0.013997216556590909,0.12496525455652044,0.21365182436974178
TGC 177,0.13671534459187784,-0.004848480788545887,0.14194815111755302,0.02247726946541377,0.16766193842745475,0.03653084561532589,-0.07899433661212235
TGC 178,0.08461233898379665,0.12329489989568368,0.31155381755244355,0.017773992862937148,0.33660213347483026,0.31972464709490894,0.18519821024106625
TGC 179,-0.13673067190003163,-0.26132924954176273,-0.37427985479684583,-0.16405238115669862,-0.2578064404009735,-0.2737483563178704,-0.12310497982267424
TGC 180,-0.017855213955410485,0.023382529548652404,0.06620344516367041,0.03626999206343021,0.040608733887530724,0.005751586430034603,0.01138884493764368
